,soft,perf,nb_inputs,is_tech,mae
428,gcc,exec,25,random,0.6409152901611371
429,gcc,exec,25,kmeans,0.4822198577292266
430,gcc,exec,25,submodular,0.4277559260546787
431,gcc,exec,25,hdbscan,0.7297834902247312
432,lingeling,conflicts,2,random,1.055906207810612
433,lingeling,conflicts,2,kmeans,1.0479137658814353
434,lingeling,conflicts,2,submodular,0.8756390884327446
435,lingeling,conflicts,2,hdbscan,0.8386805270287396
436,lingeling,conflicts,5,random,1.0234598614879267
437,lingeling,conflicts,5,kmeans,1.059756997242646
438,lingeling,conflicts,5,submodular,0.8836079565474007
439,lingeling,conflicts,5,hdbscan,0.9260789572048432
440,lingeling,conflicts,10,random,0.8885448571025011
441,lingeling,conflicts,10,kmeans,1.012800006926346
442,lingeling,conflicts,10,submodular,0.8960786578101458
443,lingeling,conflicts,10,hdbscan,0.9442670728765645
444,lingeling,conflicts,20,random,0.8843845481368483
445,lingeling,conflicts,20,kmeans,1.0101103681407069
446,lingeling,conflicts,20,submodular,0.9213018372343603
447,lingeling,conflicts,20,hdbscan,0.90406909580963
448,lingeling,conflicts,50,random,0.8570363180005265
449,lingeling,conflicts,50,kmeans,1.0098857364122855
450,lingeling,conflicts,50,submodular,0.9956664919922483
451,lingeling,conflicts,50,hdbscan,0.8386674936766774
452,lingeling,conflicts,100,random,0.814035101964779
453,lingeling,conflicts,100,kmeans,1.022709126786187
454,lingeling,conflicts,100,submodular,0.9464187864953425
455,lingeling,conflicts,100,hdbscan,0.8046929232767231
456,lingeling,conflicts,150,random,0.810067731854701
457,lingeling,conflicts,150,kmeans,1.0218138321024854
458,lingeling,conflicts,150,submodular,0.8506543337120036
459,lingeling,conflicts,150,hdbscan,0.8338851235997673
460,lingeling,conflicts,200,random,0.7888395389758724
461,lingeling,conflicts,200,kmeans,0.7507516175981602
462,lingeling,conflicts,200,submodular,0.8979448684438314
463,lingeling,conflicts,200,hdbscan,0.8564355905665757
464,lingeling,cps,2,random,1.068100061739969
465,lingeling,cps,2,kmeans,1.0481721984498433
466,lingeling,cps,2,submodular,0.8794516677894737
467,lingeling,cps,2,hdbscan,0.8395948040178187
468,lingeling,cps,5,random,1.0110968777571132
469,lingeling,cps,5,kmeans,1.060055964398321
470,lingeling,cps,5,submodular,0.8870357505422847
471,lingeling,cps,5,hdbscan,0.9276281488307448
472,lingeling,cps,10,random,0.8914901220244051
473,lingeling,cps,10,kmeans,1.0374175197631428
474,lingeling,cps,10,submodular,0.9002663352818774
475,lingeling,cps,10,hdbscan,0.9392287801719679
476,lingeling,cps,20,random,0.8871068331351871
477,lingeling,cps,20,kmeans,1.012670888811475
478,lingeling,cps,20,submodular,0.9256455039672264
479,lingeling,cps,20,hdbscan,0.9091865214644737
480,lingeling,cps,50,random,0.8577529442556578
481,lingeling,cps,50,kmeans,1.0040538171860576
482,lingeling,cps,50,submodular,0.9961465782370098
483,lingeling,cps,50,hdbscan,0.8419404037634498
484,lingeling,cps,100,random,0.813328856261176
485,lingeling,cps,100,kmeans,1.0230368420876423
486,lingeling,cps,100,submodular,0.9611792319529796
487,lingeling,cps,100,hdbscan,0.8118835507510195
488,lingeling,cps,150,random,0.8275331032491826
489,lingeling,cps,150,kmeans,1.0237108980459009
490,lingeling,cps,150,submodular,0.8448623597736165
491,lingeling,cps,150,hdbscan,0.8396498352497584
492,lingeling,cps,200,random,0.7972778139911557
493,lingeling,cps,200,kmeans,0.7505421039427704
494,lingeling,cps,200,submodular,0.9067057192576309
495,lingeling,cps,200,hdbscan,0.870930280913093
496,lingeling,reductions,2,random,1.1182902904058711
497,lingeling,reductions,2,kmeans,1.0289613293714808
498,lingeling,reductions,2,submodular,0.8218243955655469
499,lingeling,reductions,2,hdbscan,0.8576766674172764
500,lingeling,reductions,5,random,1.0054368762701738
501,lingeling,reductions,5,kmeans,1.0401269103630348
502,lingeling,reductions,5,submodular,0.8291257911455789
503,lingeling,reductions,5,hdbscan,0.8848001693487179
504,lingeling,reductions,10,random,0.7995302348366881
505,lingeling,reductions,10,kmeans,1.000228137252227
506,lingeling,reductions,10,submodular,0.8407934750145684
507,lingeling,reductions,10,hdbscan,0.8988762025841937
508,lingeling,reductions,20,random,0.8681609571567209
509,lingeling,reductions,20,kmeans,0.9939239311825808
510,lingeling,reductions,20,submodular,0.8680976996785779
511,lingeling,reductions,20,hdbscan,0.8628766913451805
512,lingeling,reductions,50,random,0.7907719032934093
513,lingeling,reductions,50,kmeans,0.9513848558098645
514,lingeling,reductions,50,submodular,0.9320002708030621
515,lingeling,reductions,50,hdbscan,0.8401595636878687
516,lingeling,reductions,100,random,0.7778720523883326
517,lingeling,reductions,100,kmeans,1.0037696186598064
518,lingeling,reductions,100,submodular,0.8907454863881042
519,lingeling,reductions,100,hdbscan,0.7822781283434113
520,lingeling,reductions,150,random,0.7738085306002744
521,lingeling,reductions,150,kmeans,0.9153221489467473
522,lingeling,reductions,150,submodular,0.8204323890810887
523,lingeling,reductions,150,hdbscan,0.7990784852411422
524,lingeling,reductions,200,random,0.7686273249287251
525,lingeling,reductions,200,kmeans,0.6223473343937695
526,lingeling,reductions,200,submodular,0.8733675492686113
527,lingeling,reductions,200,hdbscan,0.8114219729519903
528,sqlite,q1,2,random,0.284331424961885
529,sqlite,q1,2,kmeans,0.7352512598433026
530,sqlite,q1,2,submodular,0.7289739954031902
531,sqlite,q1,2,hdbscan,0.8117067333100373
532,sqlite,q1,5,random,0.4008629633938859
533,sqlite,q1,5,kmeans,0.29422869436762705
534,sqlite,q1,5,submodular,0.7390965038340443
535,sqlite,q1,5,hdbscan,0.7491460039922574
536,sqlite,q1,10,random,0.3032630424216939
537,sqlite,q1,10,kmeans,0.30522753669833447
538,sqlite,q1,10,submodular,0.41418391308270985
539,sqlite,q1,10,hdbscan,0.31747166956639383
540,sqlite,q1,20,random,0.30304899967292687
541,sqlite,q1,20,kmeans,0.31857805910476156
542,sqlite,q1,20,submodular,0.3058447696176173
543,sqlite,q1,20,hdbscan,0.2907467524770742
544,sqlite,q1,50,random,0.31078087818345485
545,sqlite,q1,50,kmeans,0.37743434154803557
546,sqlite,q1,50,submodular,0.33016717032164333
547,sqlite,q1,50,hdbscan,0.3020260545182699
548,sqlite,q1,75,random,0.2963873220615184
549,sqlite,q1,75,kmeans,0.37237477695598725
550,sqlite,q1,75,submodular,0.3335936292545991
551,sqlite,q1,75,hdbscan,0.3340716915874508
552,sqlite,q1,100,random,0.3094774021293507
553,sqlite,q1,100,kmeans,0.39472680752312145
554,sqlite,q1,100,submodular,0.31385274939039853
555,sqlite,q1,100,hdbscan,0.38159772663474983
556,sqlite,q1,120,random,0.2774802891501773
557,sqlite,q1,120,kmeans,0.3792278393814909
558,sqlite,q1,120,submodular,0.3333738041420148
559,sqlite,q1,120,hdbscan,0.4260393420680004
560,sqlite,q2,2,random,0.06083211070105562
561,sqlite,q2,2,kmeans,0.5296816652209821
562,sqlite,q2,2,submodular,0.5307330830491443
563,sqlite,q2,2,hdbscan,0.6873256917948356
564,sqlite,q2,5,random,0.17368798356023846
565,sqlite,q2,5,kmeans,0.0623517623142071
566,sqlite,q2,5,submodular,0.5401187686863711
567,sqlite,q2,5,hdbscan,0.5523344557893713
568,sqlite,q2,10,random,0.060024941405822665
569,sqlite,q2,10,kmeans,0.06118293488297162
570,sqlite,q2,10,submodular,0.1822141008296087
571,sqlite,q2,10,hdbscan,0.07504290918508774
572,sqlite,q2,20,random,0.05692435212728268
573,sqlite,q2,20,kmeans,0.06391587675189603
